TagID,Corner,CameraCombos,NumCameras,Expected_X,Expected_Y,Expected_Z,Calc_X,Error_X,Calc_Y,Error_Y,Calc_Z,Error_Z,Total_Error_cm,Status
19,1,camNorth+camSouth,2,270.00,0.00,112.00,266.53,3.47,-0.86,0.86,114.30,2.30,4.25,OK
19,1,camNorth+camWest,2,270.00,0.00,112.00,269.77,0.23,3.10,3.10,115.31,3.31,4.54,OK
19,1,camSouth+camWest,2,270.00,0.00,112.00,271.82,1.82,-1.14,1.14,113.95,1.95,2.90,OK
19,1,camNorth+camSouth+camWest,3,270.00,0.00,112.00,269.38,0.62,0.36,0.36,114.52,2.52,2.62,OK
19,2,camNorth+camSouth,2,291.50,0.00,112.50,288.50,3.00,-0.93,0.93,114.70,2.20,3.84,OK
19,2,camNorth+camWest,2,291.50,0.00,112.50,291.93,0.43,3.25,3.25,115.81,3.31,4.66,OK
19,2,camSouth+camWest,2,291.50,0.00,112.50,293.78,2.28,-1.11,1.11,114.60,2.10,3.29,OK
19,2,camNorth+camSouth+camWest,3,291.50,0.00,112.50,291.40,0.10,0.40,0.40,115.04,2.54,2.57,OK
19,3,camNorth+camSouth,2,292.00,0.00,91.00,289.02,2.98,-0.96,0.96,92.71,1.71,3.57,OK
19,3,camNorth+camWest,2,292.00,0.00,91.00,292.28,0.28,2.37,2.37,93.82,2.82,3.69,OK
19,3,camSouth+camWest,2,292.00,0.00,91.00,294.09,2.09,-1.01,1.01,92.69,1.69,2.87,OK
19,3,camNorth+camSouth+camWest,3,292.00,0.00,91.00,291.80,0.20,0.13,0.13,93.07,2.07,2.09,OK
20,0,camNorth+camSouth,2,216.50,3.00,102.50,211.77,4.73,2.37,0.63,104.82,2.32,5.31,OK
20,0,camNorth+camWest,2,216.50,3.00,102.50,214.88,1.62,6.04,3.04,105.65,3.15,4.67,OK
20,0,camSouth+camWest,2,216.50,3.00,102.50,217.45,0.95,1.86,1.14,104.00,1.50,2.11,OK
20,0,camNorth+camSouth+camWest,3,216.50,3.00,102.50,214.70,1.80,3.42,0.42,104.82,2.32,2.97,OK
20,1,camNorth+camSouth,2,195.00,3.00,102.50,189.75,5.25,2.48,0.52,104.93,2.43,5.81,OK
20,1,camNorth+camWest,2,195.00,3.00,102.50,192.92,2.08,6.34,3.34,105.70,3.20,5.07,OK
20,1,camSouth+camWest,2,195.00,3.00,102.50,195.79,0.79,1.82,1.18,103.97,1.47,2.05,OK
20,1,camNorth+camSouth+camWest,3,195.00,3.00,102.50,192.82,2.18,3.55,0.55,104.87,2.37,3.26,OK
20,2,camNorth+camSouth,2,195.00,3.00,124.00,189.91,5.09,2.57,0.43,127.01,3.01,5.93,OK
20,2,camNorth+camWest,2,195.00,3.00,124.00,192.97,2.03,7.14,4.14,127.75,3.75,5.94,OK
